goal,dimension,region_name,estimate,estimate_cat,a3_code
AO,pressures,Turks and Caicos Islands,0.12885714285717773, ,TCA
AO,pressures,Tuvalu,0.036285714285667445, ,TUV
AO,pressures,Ukraine,0.3665714285714975, ,UKR
AO,pressures,United Arab Emirates,-0.38942857142862863,  ,ARE
AO,pressures,United Kingdom,-0.27942857142863314,  ,GBR
AO,pressures,United States,0.021714285714291317, ,USA
AO,pressures,Uruguay,-0.17057142857146876,  ,URY
AO,pressures,Vanuatu,0.15600000000003908, ,VUT
AO,pressures,Venezuela,0.7397142857145075, ,VEN
AO,pressures,Vietnam,-0.1311428571428834,  ,NA
AO,pressures,Wake Island,-0.1557142857143155,  ,NA
AO,pressures,Wallis and Futuna,0.007999999999993776, ,WLF
AO,pressures,Western Sahara,-0.38885714285719836,  ,ESH
AO,pressures,Yemen,0.3405714285714957, ,YEM
AO,resilience,Albania,0.22828571428577948, ,ALB
AO,resilience,Algeria,0.03400000000001029, ,DZA
AO,resilience,American Samoa,0.178285714285756, ,ASM
AO,resilience,Amsterdam Island and Saint Paul Island,0.0197142857142978, ,NA
AO,resilience,Andaman and Nicobar,0.06400000000002344, ,NA
AO,resilience,Angola,-0.0062857142857167675,  ,AGO
AO,resilience,Anguilla,-0.528857142857287,  ,AIA
AO,resilience,Antigua and Barbuda,-0.3491428571429595,  ,ATG
AO,resilience,Argentina,-0.07600000000003222,  ,ARG
AO,resilience,Aruba,-0.08314285714288035,  ,ABW
AO,resilience,Ascension,-0.08685714285717226,  ,NA
AO,resilience,Australia,-0.05714285714288557,  ,AUS
AO,resilience,Azores,0.08971428571430509, ,NA
AO,resilience,Bahamas,-0.16400000000003906,  ,BHS
AO,resilience,Bahrain,-0.073428571428563,  ,BHR
AO,resilience,Bangladesh,0.08828571428574304, ,BGD
AO,resilience,Barbados,-0.044857142857174494,  ,BRB
AO,resilience,Bassas da India,0.02000000000001181, ,NA
AO,resilience,Belgium,-0.053142857142883276,  ,BEL
AO,resilience,Belize,-0.14114285714290004,  ,BLZ
AO,resilience,Benin,-0.02628571428571767,  ,BEN
AO,resilience,Bermuda,-0.2160000000000561,  ,BMU
AO,resilience,Bonaire,0.017999999999998306, ,BES
AO,resilience,Bosnia and Herzegovina,0.19314285714289067, ,BIH
AO,resilience,Bouvet Island,0.08399999999999366, ,BVT
AO,resilience,Brazil,-0.23771428571434372,  ,BRA
AO,resilience,British Indian Ocean Territory,-0.13485714285717887,  ,IOT
AO,resilience,British Virgin Islands,-0.13485714285717887,  ,VGB
AO,resilience,Brunei,-0.14457142857146368,  ,BRN
AO,resilience,Bulgaria,-0.06314285714286477,  ,BGR
AO,resilience,Cambodia,0.15171428571430176, ,KHM
AO,resilience,Cameroon,-0.05685714285715443,  ,CMR
AO,resilience,Canada,0.044857142857142755, ,CAN
AO,resilience,Canary Islands,0.30542857142859425, ,NA
AO,resilience,Cape Verde,-7.450938356760968e-15,  ,NA
AO,resilience,Cayman Islands,-0.1757142857143417,  ,CYM
AO,resilience,Chile,-0.0917142857143156,  ,CHL
AO,resilience,China,0.159142857142891, ,CHN
AO,resilience,Christmas Island,-0.04142857142859575,  ,CXR
AO,resilience,Clipperton Island,0.019714285714292828, ,NA
AO,resilience,Cocos Islands,-0.042857142857161364,  ,CCK
AO,resilience,Colombia,0.17714285714286188, ,COL
AO,resilience,Comoro Islands,0.2642857142857615, ,COM
AO,resilience,Cook Islands,0.524000000000133, ,COK
AO,resilience,Costa Rica,0.07942857142858402, ,CRI
AO,resilience,Croatia,1.219428571428492, ,HRV
AO,resilience,Crozet Islands,0.017428571428579415, ,NA
AO,resilience,Cuba,0.13857142857146434, ,CUB
AO,resilience,Curacao,0.030857142857141254, ,NA
AO,resilience,Cyprus,-0.13742857142860573,  ,CYP
AO,resilience,Democratic Republic of the Congo,0.1800000000000332, ,NA
AO,resilience,Denmark,-0.1225714285714635,  ,DNK
AO,resilience,Djibouti,-0.2414285714286233,  ,DJI
